102,77.57,0.76,0.06,2.22,3
666,2169.07,3.26,0.04,11.35,2
154,96.75,0.63,0.27,3.31,3
1048,2025.64,1.93,0.39,10.34,2
1070,629.62,0.59,0.13,1.12,3
14226,380833.62,26.77,0,44.38,4
646,570.21,0.88,0.37,1.42,3
144,152.07,1.06,0,3.19,3
248,140.53,0.57,0,2.15,3
5853,3154.6,0.54,0,5.21,3
777,5209.05,6.7,0,18.54,1
1688,1950.21,1.16,0,8.7,2
1928,3788.34,1.96,0,10.35,2
715,6881.68,9.62,0,25.05,1
4285,3495.31,0.82,0,5.69,3
709,194.06,0.27,0,3.93,3
668,726.1,1.09,0.4,4.01,3
22,32.74,1.49,0.07,2.88,3
533,5862.17,11,2.5,19.73,1
652,1095.26,1.68,0.06,5.62,3
546,1459.24,2.67,0.09,7.27,2
53,82.12,1.55,0,4.13,3
596,1958.98,3.29,0,13.42,2
2244,1119.01,0.5,0.09,3.13,3
666,2330.83,3.5,0,9.52,2
320,574.04,1.79,0.07,5.32,3
180,309,1.72,0,5.14,2
497,1612.31,3.24,0,6.62,2
265,340.62,1.29,0.08,4.62,3
130,175.52,1.35,0.43,1.55,3
1586,1649.67,1.04,0.14,4.58,3
2031,3668.6,1.81,0,11.4,2
1100,3237.64,2.94,0,8.38,2
285,591.78,2.08,0,4.92,3
720,1925.01,2.67,0.96,10.77,2
117,136.05,1.16,0,3.43,3
320,910.5,2.85,0,8.64,2
480,229.06,0.48,0.07,2.09,3
203,321.11,1.58,0,5.13,3
683,2101.68,3.08,0,6.32,2
523,475.39,0.91,0,5.5,3
232,261.03,1.13,0,2.55,3
582,1436.96,2.47,0.06,6.13,2
498,2586.08,5.19,0.3,13.8,1
306,438.71,1.43,0,4.77,3
2702,12499.22,4.63,0.14,16.66,1
1302,3921.88,3.01,0,10.64,2
832,1800.56,2.16,0,5.69,2
494,2225.53,4.51,1.06,6.75,2
893,13376.07,14.98,0,25.75,1
237,3704.91,15.63,8.27,21.07,1
611,1460.12,2.39,0,14.72,1
60,43.87,0.73,0.04,1.72,2
3093,2530.11,0.82,0.18,1.78,3
129,148.12,1.15,0,5.76,3
270,987.84,3.66,1.06,4.89,2
400,582.06,1.46,0.53,2.66,3
303,432.26,1.43,0,4.68,3
210,251.63,1.2,0,3.47,3
275,159,0.58,0,2.51,3
61,81.07,1.33,0.31,1.01,3
1762,111926.38,63.52,9.96,84.03,4
138,178.69,1.29,0,4.75,2
65,138.33,2.13,0.51,4.23,3
1202,3375.57,2.81,0,13.27,2
416,552.06,1.33,0.04,2.56,3
417,1072.61,2.57,0.38,4.13,3
1234,12910.61,10.46,0,20.89,1
1110,10503.7,9.46,0,20.73,1
410,1428.23,3.48,0,6.33,2
928,3046.24,3.28,0,7.95,2
182,38.13,0.21,0,1.39,3
880,1006.17,1.14,0,3.6,3
4625,3220.99,0.7,0,4.45,3
460,1518.33,3.3,1.11,5.76,2
1164,3339.1,2.87,0.06,10.15,2
146,216.98,1.49,0.34,3.35,3
128,109.74,0.86,0.04,4.28,3
2877,682.67,0.24,0.08,3.31,3
2260,4902.4,2.17,0,9.68,2
114,247.5,2.17,1.19,1.32,3
13550,263326.02,19.43,0,34.69,4
5511,17780.34,3.23,0.04,25.63,1
78,83.92,1.08,0.19,2.07,3
179,125.45,0.7,0,5.08,3
771,5801.85,7.53,0,17.96,1
832,3956.7,4.76,0.04,12.85,2
1058,3207.31,3.03,0,12.05,2
1212,15352.63,12.67,0.09,21.35,1
442,3694.23,8.36,0,18.38,1
1024,3501.3,3.42,0,12.36,2
2044,1162.02,0.57,0,4.8,3
770,1072.84,1.39,0,3.98,3
986,1453.95,1.47,0,5.04,3
30,53.12,1.77,0.87,3.15,3
40,62.94,1.57,0.46,0.92,3
1034,9037.07,8.74,0,23.13,1
1526,2852.98,1.87,0,8.26,2
145,242.93,1.68,0.63,2.75,3
736,1206.99,1.64,0,4.9,3
195,493.67,2.53,0.22,10.16,2
259,408.9,1.58,0,4.01,3
712,2307.09,3.24,0.93,5.88,2
496,490.69,0.99,0.04,4.61,3
575,191.36,0.33,0.21,0.35,3
180,141.15,0.78,0,2.79,3
1176,19808.88,16.84,0.04,33.35,1
222,259.58,1.17,0,2.15,3
925,1007.67,1.09,0,2.13,3
874,4156.46,4.76,1.67,9.05,2
260,191.67,0.74,0.11,2.63,3
210,775.72,3.69,0.7,13.26,2
615,578.93,0.94,0,2.9,3
188,264.78,1.41,0,4.61,3
62,139.57,2.25,0.45,5.22,3
1012,3266.88,3.23,0,7.43,2
312,364.63,1.17,0,2.17,3
450,662.19,1.47,0,3.24,3
355,330.65,0.93,0,3.3,3
304,157.22,0.52,0.11,2.58,3
956,2224.38,2.33,0.07,11.8,2
332,481.01,1.45,0.41,3.41,3
354,485.53,1.37,0.2,5.77,3
386,1169.56,3.03,0.28,6.12,2
1070,3284.32,3.07,0.46,13.56,2
1111,925.36,0.83,0,5.55,3
382,602.84,1.58,0.34,3.9,3
340,2322.03,6.83,0,16.74,1
92,246.5,2.68,0.41,10.83,2
137,73.53,0.54,0,1.95,3
